2.25;2.25;2.25;2.25;2.25
2.24;2.23;2.23;2.24;2.23
2.21;2.22;2.21;2.22;2.21
2.19;2.19;2.19;2.19;2.18
2.15;2.15;2.15;2.13;2.13
2.09;2.1;2.09;2.06;2.08
2.02;2.03;1.98;1.96;1.98
1.94;1.94;1.87;1.87;1.87
1.81;1.84;1.77;1.76;1.80
1.71;1.72;1.62;1.61;1.63
1.55;1.58;1.49;1.48;1.50
1.38;1.43;1.31;1.30;1.32
1.22;1.26;1.13;1.14;1.15
1.02;1.11;0.947;0.949;0.956
0.834;0.904;0.762;0.754;0.767
0.612;0.699;0.557;0.555;0.561
0.383;0.495;0.343;0.324;0.345
0.148;0.253;0.253;0.123;0.149
